entity,thing,type1
Vladimir Putin Biography," Grey Cardinal, Vova, Volodya, VVP",Nick Name
Vladimir Putin Biography," October 7, 1952",Birthday
Vladimir Putin Biography, Russian,Nationality
Vladimir Putin Biography," 
Quotes By Vladimir Putin 

Presidents 
",Famous
Vladimir Putin Biography, Libra,Sun Sign
Vladimir Putin Biography," 66 Years, 66 Year Old Males",Age
Vladimir Putin Biography, Vladimir Vladimirovich Putin,Also Known As
Vladimir Putin Biography, Saint Petersburg,Born in
Vladimir Putin Biography, President of Russia,Famous as
Vladimir Putin Biography, 1.68 m,Height
Vladimir Putin Biography," Political party - Communist Party of the Soviet Union (1975–1991), Our Home-Russia (1995–1999), Unity (1999–2001), Independent (1991–1995; 2001–2008), United Russia (2008–present)",political ideology
Vladimir Putin Biography, Lyudmila Putina (1983–2014),Spouse/Ex-
Vladimir Putin Biography, Vladimir Spiridonovich Putin,father
Vladimir Putin Biography, Maria Ivanovna Shelomova,mother
Vladimir Putin Biography," Albert Putin, Viktor Putin",siblings
Vladimir Putin Biography," Mariya Putina, Yekaterina Putina",children
Vladimir Putin Biography, Saint Petersberg,"City, States, Provinces & Districts"
Vladimir Putin Biography," United Aircraft Corporation, State Council",Founder/Co-Founder
Vladimir Putin Biography," 1975 - Saint Petersburg State University, 1997-06-27 - The National Mineral Resources University",education
Vladimir Putin Biography, Hunting,Hobbies
Vladimir Putin Biography, 2007 - Time's Person of the Year  2011 - Confucius Peace Prize,awards
Lyndon B. Johnson Biography," August 27, 1908",Birthday
Lyndon B. Johnson Biography, American,Nationality
Lyndon B. Johnson Biography," 
Quotes By Lyndon B. Johnson 

Presidents 
",Famous
Lyndon B. Johnson Biography, Virgo,Sun Sign
Lyndon B. Johnson Biography, 64,Died At Age
Lyndon B. Johnson Biography, Lyndon Baines Johnson,Also Known As
Lyndon B. Johnson Biography, Stonewall,Born in
Lyndon B. Johnson Biography, President of the U.S.A,Famous as
Lyndon B. Johnson Biography, 1.92 m,Height
Lyndon B. Johnson Biography, Political party - Democratic,political ideology
Lyndon B. Johnson Biography, Lady Bird Johnson,Spouse/Ex-
Lyndon B. Johnson Biography, Samuel Ealy Johnson Jr.,father
Lyndon B. Johnson Biography, Rebekah Baines,mother
Lyndon B. Johnson Biography," Josefa Johnson, Lucia Johnson, Rebekah Johnson, Sam Houston Johnson",siblings
Lyndon B. Johnson Biography," Luci Baines Johnson, Lynda Bird Johnson Robb",children
Lyndon B. Johnson Biography," Christian Church (Disciples of Christ), Protestantism",religion
Lyndon B. Johnson Biography," January 22, 1973",Died on
Lyndon B. Johnson Biography, Stonewall,place of death
Lyndon B. Johnson Biography, Democrats,Ideology
Lyndon B. Johnson Biography, Texas,"City, States, Provinces & Districts"
Lyndon B. Johnson Biography," National Endowment for the Arts, Office of Economic Opportunity, United States Department of Housing and Urban Development, Corporation for Public Broadcasting",Founder/Co-Founder
Lyndon B. Johnson Biography," 1930 - Texas State University, 1924 - Johnson City Senior High School",education
Lyndon B. Johnson Biography, Silver Star  1980 - Presidential Medal of Freedom  1965 - Lasker-Bloomberg Public Service Award,awards
Jeb Bush Biography," February 11, 1953",Birthday
Jeb Bush Biography, American,Nationality
Jeb Bush Biography," 
Political Leaders 

American Men 
",Famous
Jeb Bush Biography, Aquarius,Sun Sign
Jeb Bush Biography," 65 Years, 65 Year Old Males",Age
Jeb Bush Biography," John Ellis Bush, Governor Jeb Bush, John Ellis ",Also Known As
Jeb Bush Biography, Midland,Born in
Jeb Bush Biography, Former Governor of Florida,Famous as
Jeb Bush Biography, 1.91 m,Height
Jeb Bush Biography, Political party - Republican,political ideology
Jeb Bush Biography, Columba Bush,Spouse/Ex-
Jeb Bush Biography, George H. W. Bush,father
Jeb Bush Biography, Barbara Bush,mother
Jeb Bush Biography," Dorothy Bush Koch, George W. Bush, Marvin Bush, Neil Bush, Robin Bush",siblings
Jeb Bush Biography," George P. Bush, John Ellis Bush, Jr., Noelle Bush",children
Jeb Bush Biography," Catholicism, Episcopal Church, Anglicanism",religion
Jeb Bush Biography, ENTJ,Personality
Jeb Bush Biography, Republicans,Ideology
Jeb Bush Biography, Texas,"City, States, Provinces & Districts"
Elizabeth Warren Biography," June 22, 1949",Birthday
Elizabeth Warren Biography, American,Nationality
Elizabeth Warren Biography," 
Political Leaders 

American Women 
",Famous
Jeb Bush Biography, Foundation for Excellence in Education,Founder/Co-Founder
Jeb Bush Biography," $22 million as of Jul 1, 2015",Net worth
Jeb Bush Biography," University of Texas at Austin, Phillips Academy",education
Elizabeth Warren Biography, Cancer,Sun Sign
Elizabeth Warren Biography," 69 Years, 69 Year Old Females",Age
Elizabeth Warren Biography, Elizabeth Ann Warren,Also Known As
Elizabeth Warren Biography," Oklahoma City, Oklahoma",Born in
Elizabeth Warren Biography, United States Senator,Famous as
Elizabeth Warren Biography," Bruce H. Mann (m. 1980), Jim Warren (m. 1968 – div. 1978)",Spouse/Ex-
Elizabeth Warren Biography, Donald Jones Herring,father
Elizabeth Warren Biography, Pauline Herring,mother
Elizabeth Warren Biography," Alexander Warren, Amelia Warren Tyagi",children
Elizabeth Warren Biography, Oklahoma,"City, States, Provinces & Districts"
Elizabeth Warren Biography," Rutgers Law School, University of Houston, Northwest Classen High School, George Washington University",education
Gerald Ford Biography," July 14, 1913",Birthday
Gerald Ford Biography, American,Nationality
Theodore Roosevelt Biography," October 27, 1858",Birthday
Gerald Ford Biography," 
Quotes By Gerald Ford 

Presidents 
",Famous
Gerald Ford Biography, Cancer,Sun Sign
Gerald Ford Biography, 93,Died At Age
Gerald Ford Biography," Gerald Rudolph Ford Jr., Leslie Lynch King Jr.",Also Known As
Gerald Ford Biography, Omaha,Born in
Gerald Ford Biography, President of the USA,Famous as
Gerald Ford Biography, 1.83 m,Height
Gerald Ford Biography, Political party - Republican,political ideology
Gerald Ford Biography, Betty Ford,Spouse/Ex-
Gerald Ford Biography, Leslie Lynch King Sr.,father
Gerald Ford Biography, Dorothy Ayer Gardner Ford,mother
Gerald Ford Biography," James Francis Ford, Leslie Henry King, Marjorie King, Patricia Jane King, Richard Addison Ford, Thomas Gardner Ford",siblings
Gerald Ford Biography," John Gardner Ford, Michael Gerald Ford, Steven Ford, Susan Ford",children
Gerald Ford Biography," Episcopalian, Protestantism",religion
Gerald Ford Biography," December 26, 2006",Died on
Gerald Ford Biography, Rancho Mirage,place of death
Jawaharlal Nehru Biography," November 14, 1889",Birthday
Theodore Roosevelt Biography, American,Nationality
Theodore Roosevelt Biography," 
Quotes By Theodore Roosevelt 

Nobel Peace Prize 
",Famous
Theodore Roosevelt Biography, Scorpio,Sun Sign
Theodore Roosevelt Biography, 60,Died At Age
Theodore Roosevelt Biography, Theodore Roosevelt,Also Known As
Theodore Roosevelt Biography, New York City,Born in
Theodore Roosevelt Biography, 26th U.S. President,Famous as
Theodore Roosevelt Biography, Republican,political ideology
Theodore Roosevelt Biography," Alice Lee (1880–1884), Edith Carrow (1886–1919)",Spouse/Ex-
Theodore Roosevelt Biography, Theodore Roosevelt Sr. (1831–1878),father
Theodore Roosevelt Biography, Martha,mother
Theodore Roosevelt Biography," Bamie Roosevelt, Corinne Roosevelt Robinson, Elliott Roosevelt I",siblings
Theodore Roosevelt Biography," Alice, Archie, Ethel, Kermit, Quentin, Theodore",children
Theodore Roosevelt Biography, Dutch Reformed,religion
Theodore Roosevelt Biography," January 6, 1919",Died on
Theodore Roosevelt Biography, Oyster Bay,place of death
Nelson Mandela Biography," July 18, 1918",Birthday
Nelson Mandela Biography, South African,Nationality
Nelson Mandela Biography," 
Quotes By Nelson Mandela 

Nobel Peace Prize 
",Famous
Nelson Mandela Biography, Cancer,Sun Sign
Gerald Ford Biography, Republicans,Ideology
Gerald Ford Biography," 1935 - University of Michigan, 1941 - Yale Law School, 1937 - University of Michigan Law School, Yale University",education
Gerald Ford Biography, 1999 - Presidential Medal of Freedom  1985 - Old Tom Morris Award  2001 - Profile in Courage Award ,awards
Jawaharlal Nehru Biography, Indian,Nationality
Jawaharlal Nehru Biography," 
Quotes By Jawaharlal Nehru 

Atheists 
",Famous
Jawaharlal Nehru Biography, Scorpio,Sun Sign
Jawaharlal Nehru Biography, 74,Died At Age
Jawaharlal Nehru Biography, Allahabad,Born in
Jawaharlal Nehru Biography, First PM of India & Freedom Fighter,Famous as
Jawaharlal Nehru Biography, Indian National Congress,political ideology
Jawaharlal Nehru Biography, Kamala Nehru,Spouse/Ex-
Jawaharlal Nehru Biography, Motilal Nehru,father
Jawaharlal Nehru Biography, Swaruprani Thussu (1868–1938),mother
Jawaharlal Nehru Biography," Krishna Hutheesing, Vijaya Lakshmi",siblings
Jawaharlal Nehru Biography, Indira Gandhi,children
Jawaharlal Nehru Biography, Hindu,religion
Jawaharlal Nehru Biography," May 27, 1964",Died on
Jawaharlal Nehru Biography, New Delhi,place of death
Jawaharlal Nehru Biography," Trinity College, Cambridge (1907 – 1910), Harrow School, Inns of Court School of Law",education
Jawaharlal Nehru Biography, 1955 - Bharat Ratna,awards
Theodore Roosevelt Biography, ESTP,Personality
Theodore Roosevelt Biography," Environmentalists, Republicans",Ideology
Theodore Roosevelt Biography, New Yorkers,"City, States, Provinces & Districts"
Theodore Roosevelt Biography," Harvard University, Columbia Law School",education
Theodore Roosevelt Biography, 1906 - Nobel Peace Prize,awards
Nelson Mandela Biography, 95,Died At Age
Nelson Mandela Biography, Mvezo,Born in
Nelson Mandela Biography," Anti-Apartheid Activist, President of ANC and Former President of South Africa",Famous as
Nelson Mandela Biography, African National Congress,political ideology
Nelson Mandela Biography," Graça Machel (m. 1998), Evelyn Ntoko (m. 1944–1958), Winnie Madikizela-Mandela (m. 1958–1996)",Spouse/Ex-
Nelson Mandela Biography, Gadla Henry Mphakanyiswa,father
Nelson Mandela Biography, Nosekeni Fanny,mother
Nelson Mandela Biography," Madiba Thembekile Mandela, Makaziwe Mandela, Makgatho Mandela, Zenani Mandela, Zindziswa Mandela",children
Nelson Mandela Biography, Christianity (Methodism),religion
Nelson Mandela Biography," December 5, 2013",Died on
Nelson Mandela Biography, ENFJ,Personality
Nelson Mandela Biography," University Of Fort Hare, University Of South Africa",Notable Alumni
Nelson Mandela Biography," University of Fort Hare, University of London External System, University of South Africa, University of the Witwatersrand",education
Nelson Mandela Biography, 1980 - Jawaharlal Nehru Award 1993 - Noble Prize 1990 - Bharat Ratna Award,awards
Kamala Harris Biography," October 20, 1964",Birthday
Kamala Harris Biography, American,Nationality
Kamala Harris Biography," 
Political Leaders 

American Women 
",Famous
Kamala Harris Biography, Libra,Sun Sign
Kamala Harris Biography," 54 Years, 54 Year Old Females",Age
Kamala Harris Biography, Kamala Devi Harris,Also Known As
Kamala Harris Biography, California,Born in
Kamala Harris Biography, US Senator,Famous as
Kamala Harris Biography, 1.57 m,Height
Kamala Harris Biography, Douglas Emhoff (m. 2014),Spouse/Ex-
Kamala Harris Biography, Donald Harris,father
Kamala Harris Biography, Shyamala Gopalan,mother
Kamala Harris Biography, Maya Harris,siblings
Kamala Harris Biography, California,"City, States, Provinces & Districts"
Kamala Harris Biography," C Hastings College of the Law (1989), Howard University (1986), Westmount High School",education
Bob Dole Biography," July 22, 1923",Birthday
Bob Dole Biography, American,Nationality
Bob Dole Biography," 
Quotes By Bob Dole 

Political Leaders 
",Famous
Bob Dole Biography, Cancer,Sun Sign
Bob Dole Biography," 95 Years, 95 Year Old Males",Age
Bob Dole Biography," Robert Joseph Dole, Robert Dole",Also Known As
Bob Dole Biography, Russell,Born in
Bob Dole Biography," Politician, Lawyer",Famous as
Bob Dole Biography, 1.83 m,Height
Bob Dole Biography, Political party - Republican,political ideology
Bob Dole Biography," Elizabeth Dole, Phyllis Holden",Spouse/Ex-
Bob Dole Biography, Doran Ray Dole,father
Narendra Modi Biography," September 17, 1950",Birthday
Bob Dole Biography, Bina M. Dole,mother
Bob Dole Biography, Robin Dole,children
Bob Dole Biography, Methodism,religion
Bob Dole Biography, Kansas,"City, States, Provinces & Districts"
Bob Dole Biography, Republicans,Ideology
Bob Dole Biography, Bipartisan Policy Center,Founder/Co-Founder
Bob Dole Biography," $5 million as of Oct 21, 2016",Net worth
Bob Dole Biography," University of Kansas, 1951 - University of Arizona, 1952 - Washburn University, Washburn University School of Law, James E. Rogers College of Law",education
Bob Dole Biography, World Food Prize,awards
Narendra Modi Biography, Indian,Nationality
Narendra Modi Biography," 
Quotes By Narendra Modi 

Prime Ministers 
",Famous
Narendra Modi Biography, Virgo,Sun Sign
Narendra Modi Biography," 68 Years, 68 Year Old Males",Age
Narendra Modi Biography, Narendra Damodardas Modi,Also Known As
Narendra Modi Biography," Vadnagar, Bombay Presidency now Gujarat, India",Born in
Narendra Modi Biography, Prime Minister of India,Famous as
Narendra Modi Biography, 1.7 m,Height
Narendra Modi Biography, Political party - Bharatiya Janata Party,political ideology
Narendra Modi Biography, Jashodaben Modi,Spouse/Ex-
Narendra Modi Biography, Damodardas Mulchand Modi,father
Narendra Modi Biography, Heeraben Modi,mother
Narendra Modi Biography," Amrutbhai Modi (brother), Pankajbhai Modi (brother), Prahladbhai Modi (brother), Soma Modi (brother), Vasantiben Hasmukhlal Modi (Sister)",siblings
Otto von Bismarck Biography," April 1, 1815",Birthday
John McCain Biography," August 29, 1936",Birthday
Narendra Modi Biography, Hinduism,religion
Narendra Modi Biography," Rs 1.51 crore as of Apr 11, 2014",Net worth
Narendra Modi Biography," 1983 - Gujarat University, 1978 - University of Delhi",education
Narendra Modi Biography, Photography and Poetry,Hobbies
Narendra Modi Biography, CNN-IBN Indian of the Year,awards
Otto von Bismarck Biography, German,Nationality
Otto von Bismarck Biography," 
Quotes By Otto Von Bismarck 

Presidents 
",Famous
Otto von Bismarck Biography, Aries,Sun Sign
Otto von Bismarck Biography, 83,Died At Age
Otto von Bismarck Biography, Otto Eduard Leopold von Bismarck,Also Known As
Otto von Bismarck Biography, Schönhausen,Born in
Otto von Bismarck Biography, German Statesman,Famous as
Otto von Bismarck Biography, Johanna von Puttkamer,Spouse/Ex-
Otto von Bismarck Biography, Ferdinand von Bismarck-Schönhausen,father
Otto von Bismarck Biography, Wilhelmine Mencken,mother
Otto von Bismarck Biography," Countess Marie von Bismarck-Schönhausen - Herbert, Prince von Bismarck - Count Wilhelm von Bismarck-Schönhausen",children
Otto von Bismarck Biography, Lutheranism,religion
Otto von Bismarck Biography," July 30, 1898",Died on
Otto von Bismarck Biography, Friedrichsruh,place of death
Otto von Bismarck Biography," Plamann Institute, Berlin - Frederick William Gymnasium, Berlin - Law, University of Göttingen,",education
Joseph Stalin Biography," December 18, 1878",Birthday
John McCain Biography, American,Nationality
John McCain Biography," 
Quotes By John McCain 

Aviators 
",Famous
John McCain Biography, Virgo,Sun Sign
John McCain Biography, 81,Died At Age
John McCain Biography, John Sidney McCain III,Also Known As
John McCain Biography," Coco Solo, Panama",Born in
John McCain Biography, United States Senator,Famous as
John McCain Biography, 1.75 m,Height
John McCain Biography, Political party-	Republican,political ideology
John McCain Biography," Carol McCain, Cindy McCain",Spouse/Ex-
John McCain Biography, John S. McCain Jr.,father
John McCain Biography, Roberta McCain,mother
John McCain Biography," Joe McCain, Sandy McCain",siblings
John McCain Biography," Andrew McCain, Bridget McCain, Douglas McCain, James McCain, John Sidney McCain IV, Meghan McCain, Sidney McCain",children
John McCain Biography," Baptists, Episcopal Church, Protestantism, Southern Baptist Convention",religion
John McCain Biography," August 25, 2018",Died on
Joseph Stalin Biography," Georgian, Russian",Nationality
Joseph Stalin Biography," 
Dictators 

Political Leaders 
",Famous
Joseph Stalin Biography, Sagittarius,Sun Sign
Joseph Stalin Biography, 74,Died At Age
Joseph Stalin Biography, Georgia,Born Country
Joseph Stalin Biography," Gori, Georgia",Born in
Joseph Stalin Biography, Communist Revolutionary & Ruler of former USSR,Famous as
Joseph Stalin Biography, Communist Party of the Soviet Union,political ideology
Joseph Stalin Biography," Kato Svanidze (m. 1906–1907), Nadezhda Alliluyeva (m. 1919–1932)",Spouse/Ex-
Joseph Stalin Biography, Besarion Jughashvili,father
Joseph Stalin Biography, Ketevan Geladze,mother
Joseph Stalin Biography," Svetlana Alliluyeva, Vasily Dzhugashvili, Yakov Dzhugashvili",children
Joseph Stalin Biography," March 5, 1953",Died on
Joseph Stalin Biography," Kuntsevo Dacha near Moscow, Russian SFSR, Soviet Union",place of death
Joseph Stalin Biography," Seminary of Tiflis, Gori Church School",education
Joseph Stalin Biography, 1949 - Order of Lenin 1945 - Czechoslovak War Cross  - Hero of the Soviet Union,awards
John McCain Biography," Cornville, Arizona, U.S.",place of death
John McCain Biography, Arizona,"City, States, Provinces & Districts"
John McCain Biography, The Reform Institute,Founder/Co-Founder
John McCain Biography," $100 million as of Jun 19, 2017",Net worth
John McCain Biography," United States Naval Academy, Episcopal High School, National War College",education
John McCain Biography," Sports, Hiking, Fishing, Boxing, Basketball, Football, Baseball, History, Barbecue grill che",Hobbies
John McCain Biography, Purple Heart  Bronze Star Medal  Silver Star ,awards
John Quincy Adams Biography," July 11, 1767",Birthday
John Quincy Adams Biography, American,Nationality
John Quincy Adams Biography," 
Quotes By John Quincy Adams 

Political Leaders 
",Famous
John Quincy Adams Biography, Cancer,Sun Sign
John Quincy Adams Biography, 80,Died At Age
John Quincy Adams Biography, Braintree,Born in
John Quincy Adams Biography, Whig (1838–1848),political ideology
John Quincy Adams Biography, Louisa Johnson,Spouse/Ex-
John Quincy Adams Biography, John Adams,father
John Quincy Adams Biography, Abigail Adams,mother
John Quincy Adams Biography, Charles Adams,siblings
John Quincy Adams Biography," Charles, George, John, Louisa",children
John Quincy Adams Biography, Unitarianism,religion
John Quincy Adams Biography," February 23, 1848",Died on
John Quincy Adams Biography," Washington, D.C.",place of death
John Quincy Adams Biography, INTP,Personality
John Quincy Adams Biography, Massachusetts,"City, States, Provinces & Districts"
John Quincy Adams Biography, This is the last of Earth! I am content!,epitaphs
John Quincy Adams Biography," Harvard College, (1787), Harvard University, Leiden University, Harvard Law School",education
Anthony Eden Biography," June 12, 1897",Birthday
Anthony Eden Biography, British,Nationality
Anthony Eden Biography," 
Prime Ministers 

Political Leaders 
",Famous
Anthony Eden Biography, Gemini,Sun Sign
Anthony Eden Biography, 79,Died At Age
Anthony Eden Biography, Sir Anthony Eden,Also Known As
Anthony Eden Biography, Windlestone Hall,Born in
Anthony Eden Biography, Prime Minister of UK,Famous as
Anthony Eden Biography," Beatrice Beckett, Clarissa Eden",Spouse/Ex-
Anthony Eden Biography," 2nd Earl of Avon, Baron Fraser of Carmyllie, Nicholas Eden, Peter Fraser, Robert Eden, Simon Eden",children
Anthony Eden Biography, Church of England,religion
Anthony Eden Biography," January 14, 1977",Died on
Anthony Eden Biography, Alvediston,place of death
Anthony Eden Biography," 1910 - Sandroyd School, 1915 - Eton College, 1922 - Christ Church, Oxford, University of Oxford",education
William McKinley Biography," January 29, 1843",Birthday
William McKinley Biography, American,Nationality
William McKinley Biography," 
Quotes By William McKinley 

Presidents 
",Famous
William McKinley Biography, Aquarius,Sun Sign
William McKinley Biography, 58,Died At Age
William McKinley Biography, Niles,Born in
William McKinley Biography, President of the U.S.A,Famous as
William McKinley Biography, 1.70 m,Height
William McKinley Biography, Political party - Republican,political ideology
William McKinley Biography, Ida Saxton McKinley,Spouse/Ex-
William McKinley Biography, William McKinley Sr.,father
William McKinley Biography, Nancy Allison McKinley,mother
William McKinley Biography," Abigail Celia McKinley, Abner Osborn McKinley, Anna McKinley, David Allison McKinley, Helen Minerva McKinley, James Rose McKinley, Mary McKinley, Sarah Elizabeth McKinley",siblings
William McKinley Biography," Ida McKinley, Katherine McKinley",children
William McKinley Biography, Methodism,religion
William McKinley Biography," September 14, 1901",Died on
William McKinley Biography, Buffalo,place of death
William McKinley Biography, Albany Law School,Notable Alumni
William McKinley Biography, Assassination,Cause of Death
William McKinley Biography, Republicans,Ideology
William McKinley Biography," Albany Law School, 1861 - Allegheny College, Poland Academy, Poland Seminary High School",education
James Madison Biography," Father of the Constitution, His Little Majesty, Little Jemmy, The Great Legislator, Father of the University of Virginia, America's First Graduate Student, Sage of Montpelier, Little Johnny, Father of the Bill of Rights, Jemmie",Nick Name
James Madison Biography," March 16, 1751",Birthday
James Madison Biography, American,Nationality
James Madison Biography," 
Quotes By James Madison 

Presidents 
",Famous
William McKinley Biography," Riding, Swimming, Walking",Hobbies
William Howard Taft Biography," September 15, 1857",Birthday
William Howard Taft Biography, American,Nationality
William Howard Taft Biography," 
Quotes By William Howard Taft 

Presidents 
",Famous
William Howard Taft Biography, Virgo,Sun Sign
William Howard Taft Biography, 72,Died At Age
James Madison Biography, Pisces,Sun Sign
James Madison Biography, 85,Died At Age
James Madison Biography, Port Conway,Born in
James Madison Biography, President of the U.S.A,Famous as
James Madison Biography, Political party - Democratic-Republican,political ideology
James Madison Biography, Dolley Madison,Spouse/Ex-
James Madison Biography, James Madison Sr.,father
James Madison Biography, Eleanor Rose Conway,mother
James Madison Biography," Ambrose Madison, Catlett Madison, Elizabeth Madison, Frances Taylor Madison, Francis Madison, Nelly Conway Madison, Reuben Madison, Sarah Catlett Madison, William Taylor Madison",siblings
James Madison Biography, John Payne Todd,children
James Madison Biography," Episcopal Church, Deism",religion
James Madison Biography," June 28, 1836",Died on
James Madison Biography, Orange,place of death
James Madison Biography, INTP,Personality
James Madison Biography," Democratic Party, Democratic-Republican Party, 30th Indiana Infantry Regiment, The United States Constitutional Convention",Founder/Co-Founder
James Madison Biography, 1771 - Princeton University,education
William Howard Taft Biography," Taft, William Howard, Judge William Howard Taft, William Taft",Also Known As
William Howard Taft Biography, Cincinnati,Born in
William Howard Taft Biography, President of the U.S.A,Famous as
William Howard Taft Biography, Political party - Republican,political ideology
William Howard Taft Biography, Helen Herron Taft,Spouse/Ex-
William Howard Taft Biography, Alphonso Taft,father
William Howard Taft Biography, Louise Taft,mother
William Howard Taft Biography," Charles Phelps Taft, Henry Waters Taft, Horace Dutton Taft, Peter Rawson Taft II",siblings
William Howard Taft Biography," Charles Phelps Taft II, Helen Taft Manning, Robert A. Taft",children
William Howard Taft Biography," Unitarian Universalism, Unitarianism",religion
William Howard Taft Biography," March 8, 1930",Died on
William Howard Taft Biography," Washington, D.C.",place of death
William Howard Taft Biography, Republicans,Ideology
William Howard Taft Biography," United States Department of Labor, United States Children's Bureau",Founder/Co-Founder
William Howard Taft Biography," 1880 - University of Cincinnati College of Law, 1874 - Woodward High School, 1878 - Yale College",education
William Howard Taft Biography, Golf,Hobbies
Jair Bolsonaro Biography," March 21, 1955",Birthday
Jair Bolsonaro Biography, Brazilian,Nationality
Jair Bolsonaro Biography," 
Political Leaders 

Brazilian Men 
",Famous
Jair Bolsonaro Biography, Aries,Sun Sign
Jair Bolsonaro Biography," 63 Years, 63 Year Old Males",Age
Jair Bolsonaro Biography, Jair Messias Bolsonaro,Also Known As
Jair Bolsonaro Biography," Campinas, São Paulo",Born in
Jair Bolsonaro Biography, Political Leader,Famous as
Jair Bolsonaro Biography, 1.85 m,Height
Jair Bolsonaro Biography," Michelle Bolsonaro (m. 2013), Ana Cristina Valle (div.), Rogéria Nantes Braga (div.)",Spouse/Ex-
Jair Bolsonaro Biography, Geraldo Bolsonaro,father
Jair Bolsonaro Biography, Olinda Bolsonaro,mother
Jair Bolsonaro Biography," Carlos Bolsonaro, Eduardo Bolsonaro, Flávio Bolsonaro, Laura Bolsonaro, Renan Bolsonaro",children
Jair Bolsonaro Biography, Sao Paulo,"City, States, Provinces & Districts"
Jair Bolsonaro Biography, Agulhas Negras Military Academy,education
Warren G. Harding Biography," November 2, 1865",Birthday
Warren G. Harding Biography, American,Nationality
Warren G. Harding Biography," 
Presidents 

Political Leaders 
",Famous
Warren G. Harding Biography, Scorpio,Sun Sign
Warren G. Harding Biography, 57,Died At Age
Warren G. Harding Biography, Warren Harding,Also Known As
Warren G. Harding Biography, Blooming Grove,Born in
Warren G. Harding Biography, President of the U.S,Famous as
Warren G. Harding Biography, Political party - Republican,political ideology
Warren G. Harding Biography, Florence Harding,Spouse/Ex-
Warren G. Harding Biography, Dr. George Tryon Harding Sr.,father
Warren G. Harding Biography, Phoebe Elizabeth Harding,mother
Warren G. Harding Biography, Carolyn Harding Votaw,siblings
Warren G. Harding Biography," Elizabeth Ann Blaesing, Marshall Eugene DeWolfe",children
Warren G. Harding Biography, Baptists,religion
Warren G. Harding Biography," August 2, 1923",Died on
Warren G. Harding Biography, San Francisco,place of death
Warren G. Harding Biography, 1882 - Ohio Central College,education
