entity,thing,typee
William Howard Taft Biography," Charles Phelps Taft, Henry Waters Taft, Horace Dutton Taft, Peter Rawson Taft II",siblings
William Howard Taft Biography," Charles Phelps Taft II, Helen Taft Manning, Robert A. Taft",children
Grover Cleveland Biography, Frances Folsom Cleveland Preston,Spouse/Ex-
Grover Cleveland Biography, Richard Falley Cleveland,father
Grover Cleveland Biography, Ann Neal Cleveland,mother
Grover Cleveland Biography, Rose Cleveland,siblings
Grover Cleveland Biography," Esther Cleveland, Ruth Cleveland",children
Muhammad Ali Jinnah Biography," Emibai Jinnah (m. 1892–1893), Rattanbai Petit (1918-1929)",Spouse/Ex-
Muhammad Ali Jinnah Biography, Jinnahbhai Poonja,father
Muhammad Ali Jinnah Biography, Mithibai,mother
Muhammad Ali Jinnah Biography," Fatima Jinnah, Shireen Jinnah",siblings
Muhammad Ali Jinnah Biography, Dina Jinnah,children
Sarah Palin Biography, Todd Palin,Spouse/Ex-
Sarah Palin Biography, Charles R. Heath,father
Sarah Palin Biography, Sarah Heath,mother
Sarah Palin Biography," Chuck Heath, Heather Bruce, Molly Heath McCann",siblings
Sarah Palin Biography," Bristol Palin, Piper Palin, Track Palin, Trig Palin, Willow Palin",children
Jeremy Corbyn Biography," Claudia Bracchitta (m. 1987; div. 1999), Jane Chapman (m. 1974; div. 1979), Laura Álvarez (m. 2013)",Spouse/Ex-
Jeremy Corbyn Biography, David Benjamin Corbyn,father
Jeremy Corbyn Biography, Naomi Loveday,mother
Jeremy Corbyn Biography, Piers Corbyn,siblings
Sonia Gandhi Biography, Rajiv Gandhi,Spouse/Ex-
Sonia Gandhi Biography, Stefano Maino,father
Sonia Gandhi Biography, Paola Maino,mother
Sonia Gandhi Biography," Priyanka Gandhi, Rahul Gandhi",children
Aaron Burr Biography," Eliza Bowen Jumel, Theodosia Bartow Prevost",Spouse/Ex-
Aaron Burr Biography, Rev. Aaron Burr,father
Aaron Burr Biography, Esther Edwards,mother
Aaron Burr Biography," Sarah, Theodosia Bartow Burr",children
Mohammed bin Rashid Al Maktoum Biography," Haya bint Al Hussein (m. 2004), Hind bint Maktoum bin Juma Al Maktoum (m. 1979)",Spouse/Ex-
Mohammed bin Rashid Al Maktoum Biography, Rashid bin Saeed Al Maktoum,father
Mohammed bin Rashid Al Maktoum Biography, Latifa bint Hamdan Al Nahyan,mother
Mohammed bin Rashid Al Maktoum Biography," Hamdan bin Mohammed Al Maktoum, Hessa bint Mohammed bin Rashid Al Maktoum, Latifa bint Mohammed bin Rashid Al Maktoum (III), Maktoum bin Mohammed Al Maktoum, Manal bint Mohammed bin Rashid Al Maktoum, Maryam bint Mohammed bin Rashed Al Maktoum (I), Rashid bin Mohammed Al Maktoum, Shaikha bint Mohammed bin Rashed Al Maktoum",children
Andrés Manuel López Obrador Biography," Beatriz Gutiérrez Müller (m. 2006), Rocío Beltrán Medina (m. 1979–2003)",Spouse/Ex-
Andrés Manuel López Obrador Biography," Andrés Manuel López Beltrán, Gonzalo Alfonso López Beltrán, Jesús Ernesto López Gutiérrez, José Ramón López Beltrán",children
Nikita Khrushchev Biography," Marusia Khrushcheva (m. 1922), Nina Khrushcheva (m. 1923–1971), Yefrosinia Khrushcheva (m. 1916–1919)",Spouse/Ex-
Nikita Khrushchev Biography, Sergei Khrushchev,father
Nikita Khrushchev Biography, Ksenia Khrushcheva,mother
Nikita Khrushchev Biography, Irina,siblings
Nikita Khrushchev Biography," Elena Khrushchev, Leonid Khrushchev, Rada Khrushchev, Sergei Khrushchev, Yulia Khrushchev",children
Ross Perot Biography, Margot Birmingham,Spouse/Ex-
Ross Perot Biography, Gabriel Ross Perot,father
Ross Perot Biography, Lula May Perot (née Ray),mother
Ross Perot Biography," Carolyn, Katherine, Nancy, Ross Jr., Suzanne",children
Andrew Johnson Biography, Eliza McCardle Johnson,Spouse/Ex-
Andrew Johnson Biography, Jacob Johnson,father
Andrew Johnson Biography, Mary McDonough Johnson,mother
Andrew Johnson Biography," Elizabeth Johnson, William Johnson",siblings
Andrew Johnson Biography," Andrew Johnson Jr., Charles Johnson, Martha Johnson Patterson, Mary Johnson Stover Brown, Robert Johnson",children
David Cameron Biography, Samantha Cameron,Spouse/Ex-
David Cameron Biography, Ian Donald Cameron,father
David Cameron Biography, Mary Fleur,mother
Condoleezza Rice Biography, John Wesley Rice Jr.,father
Condoleezza Rice Biography, Angelena,mother
David Cameron Biography," Allan Alexander Cameron, Tania Rachel Cameron",siblings
David Cameron Biography," Arthur Elwen Cameron, Florence Rose Endellion Cameron, Ivan Reginald Ian Cameron, Nancy Gwen Cameron",children
Lal Bahadur Shastri Biography, Lalita Devi,Spouse/Ex-
Lal Bahadur Shastri Biography, Sharada Prasad Srivastava,father
Lal Bahadur Shastri Biography, Ramdulari Devi,mother
Lal Bahadur Shastri Biography," Anil, Hari Krishna, Kusum, Suman, Sunil and Ashok",children
Jerry Brown Biography, Anne Gust (2005–present),Spouse/Ex-
Jerry Brown Biography, Bernice Layne Brown,mother
Henry Kissinger Biography," Nancy Kissinger (m. 1974), Ann Fleischer (m. 1949–1964)",Spouse/Ex-
Henry Kissinger Biography, Louis Kissinger,father
Henry Kissinger Biography, Paula (Stern) Kissinger,mother
Henry Kissinger Biography, Walter Kissinger,siblings
Henry Kissinger Biography," David Kissinger, Elizabeth Kissinger",children
Calvin Coolidge Biography, Grace Coolidge,Spouse/Ex-
Calvin Coolidge Biography, John Calvin Coolidge Sr.,father
Calvin Coolidge Biography, Victoria Josephine Moor,mother
Calvin Coolidge Biography," Calvin Coolidge Jr., John Coolidge",children
Al Franken Biography, Franni Bryson,Spouse/Ex-
Al Franken Biography, Joe Franken,father
Al Franken Biography, Phoebe Kunst Franken,mother
Al Franken Biography, Owen Franken,siblings
Al Franken Biography," Joe Franken, Thomasin Franken",children
David Lloyd George Biography," Countess Lloyd-George of Dwyfor, Frances Lloyd George, Margaret Lloyd George",Spouse/Ex-
David Lloyd George Biography," 1st Viscount Tenby, Desmond Donnelly, Gwilym Lloyd George, Mair Lloyd George, Megan Lloyd George, Olwen Lloyd George, Richard Lloyd George Lloyd George",children
Gabrielle Giffords Biography, Mark Kelly (m. 2007),Spouse/Ex-
Gabrielle Giffords Biography, Spencer J. Giffords,father
Gabrielle Giffords Biography, Gloria Fraser Giffords,mother
Gabrielle Giffords Biography," Claire Kelly, Claudia Kelly",children
Pompey Biography," Aemilia Scaura (82 BC – 79 BC), Antistia (86 BC – 82 BC), Cornelia Metella (52 BC – 48 BC), her death), his death), Julia (59 BC – 54 BC), Mucia Tertia (79 BC – 61 BC)",Spouse/Ex-
Pompey Biography, Pompeius Strabo,father
Pompey Biography," Gnaeus Pompeius, Pompeia Magna, Sextus Pompey",children
Lorenzo de' Medici Biography, Clarice Orsini (m. 1469–1488),Spouse/Ex-
Lorenzo de' Medici Biography, Piero the Gouty,father
Lorenzo de' Medici Biography, Lucrezia Tornabuoni,mother
Lorenzo de' Medici Biography," Contessina de Médici, Duke of Nemours, Piero the Unfortunate, Pope Leo X",children
Tammy Duckworth Biography, Bryan Bowlsbey,Spouse/Ex-
Bruce Rauner Biography," Diana Mendley, Elizabeth Konker Wessel (1980–1993)",Spouse/Ex-
Bruce Rauner Biography, Vincent Joseph Rauner,father
Bruce Rauner Biography, Ann (née Erickson),mother
Nicolás Maduro Biography, Cilia Flores,Spouse/Ex-
Nicolás Maduro Biography, Nicolás Maduro Garcia,father
Nicolás Maduro Biography, Teresa de Jesús Moros,mother
Nicolás Maduro Biography, Nicolás Ernesto Maduro Guerra,children
Dilma Rousseff Biography," Carlos Franklin Paixão de Araújo, Cláudio Galeno Linhares",Spouse/Ex-
Dilma Rousseff Biography, Pedro Rousseff,father
Dilma Rousseff Biography, Dilma Jane da Silva,mother
Dilma Rousseff Biography," Igor Rousseff, Zana Lúcia Rousseff",siblings
Dilma Rousseff Biography, Paula Rousseff de Araújo,children
Rick Santorum Biography, Karen Garver (1990–present),Spouse/Ex-
Rick Santorum Biography, Aldo Santorum,father
Rick Santorum Biography, Catherine (Dughi) Santorum,mother
Ali Khamenei Biography, Khojaste Bagherzadeh,Spouse/Ex-
Ali Khamenei Biography, Seyyed Javad Khamenei,father
Ali Khamenei Biography, Khadijeh Mirdamadi,mother
Ali Khamenei Biography," Hadi Khamenei, Mohammad Khamenei, Rababeh Khamenei",siblings
Ali Khamenei Biography," Boshra Khamenei, Hoda Khamenei, Masoud Khamenei, Meysam Khamenei, Mojtaba Khamenei, Mostafa Khamenei",children
Charlie Baker Biography, Lauren Baker,Spouse/Ex-
Charlie Baker Biography, Charles Duane Baker,father
Charlie Baker Biography, Alice Elizabeth,mother
Vyacheslav Molotov Biography, Polina Zhemchuzhina (m. 1921–1948),Spouse/Ex-
Vyacheslav Molotov Biography, Mikhail Skryabin,father
Vyacheslav Molotov Biography, Anna Nebogatikova,mother
Vyacheslav Molotov Biography, Svetlana Molotova,children
Ron Paul Biography, Carol Wells (m. 1957),Spouse/Ex-
Ron Paul Biography, Howard Caspar Paul,father
Ron Paul Biography, Margaret née Dumont,mother
Ron Paul Biography," Joy Paul, Lori Paul, Rand Paul, Robert Paul, Ronnie Paul",children
M. G. Ramachandran Biography," Sathanandavathi (died in 1962), Thangamani (died in 1942), V. N. Janaki (died in 1996)",Spouse/Ex-
M. G. Ramachandran Biography, Melakkath Gopala Menon,father
M. G. Ramachandran Biography, Maruthur Satyabhama.,mother
Meriwether Lewis Biography, Lt. William Lewis of Locust Hill,father
Meriwether Lewis Biography, Lucy Meriwether,mother
Harold Wilson Biography, Mary Baldwin (m. 1940),Spouse/Ex-
Harold Wilson Biography, James Herbert Wilson,father
Harold Wilson Biography, Ethel Wilson,mother
Harold Wilson Biography, Robin Wilson,children
Samuel Pepys Biography, Elisabeth Pepys,Spouse/Ex-
Samuel Pepys Biography, John Pepys,siblings
Robert Todd Lincoln Biography, Mary Harlan Lincoln (m. 1868–1926),Spouse/Ex-
Robert Todd Lincoln Biography, Abraham Lincoln,father
Robert Todd Lincoln Biography, Mary Todd Lincoln,mother
Robert Todd Lincoln Biography," Edward Baker Lincoln, Tad Lincoln, William Wallace Lincoln",siblings
Yasser Arafat Biography, Suha Arafat (m. 1990–2004),Spouse/Ex-
Yasser Arafat Biography, Abdel Raouf al-Qudwa al-Husseini,father
Yasser Arafat Biography, Zahwa Abul Saud,mother
Yasser Arafat Biography, Fathi,siblings
Yasser Arafat Biography, Zahwa Arafat,children
Gamal Abdel Nasser Biography, Tahia Kazim (m. 1944),Spouse/Ex-
Gamal Abdel Nasser Biography, Abdel Nasser Hussein,father
Gamal Abdel Nasser Biography, Fahima,mother
Gamal Abdel Nasser Biography," al-Leithi, Izz al-Arab",siblings
Gamal Abdel Nasser Biography," Abdel Hakim Abdel Nasser, Abdel Hamid Abdel Nasser, Hoda Abdel Nasser, Khalid Abdel Nasser, Mona Gamal Abdel Nasser",children
Betsy DeVos Biography, Dick DeVos (m. 1980),Spouse/Ex-
Betsy DeVos Biography, Edgar Prince,father
Betsy DeVos Biography, Elsa (Zwiep) Prince,mother
Betsy DeVos Biography, Erik Prince,siblings
Betsy DeVos Biography," Andrea DeVos, Elisabeth DeVos, Richard DeVos III, Ryan DeVos",children
Robert Walpole Biography," Catherine, Lady Walpole, Maria",Spouse/Ex-
Robert Walpole Biography," 1st Baron Walpole, Dorothy Walpole, Horatio Walpole",siblings
Robert Walpole Biography," Edward Walpole, Horace Walpole, Lady Maria Walpole, Lady Mary Walpole, Robert Walpole",children
Miguel Díaz-Canel Biography," Lis Cuesta, Martha",Spouse/Ex-
Miguel Díaz-Canel Biography, Miguel Díaz-Canel,father
Miguel Díaz-Canel Biography, Aida Bermudez,mother
Cristina Fernández de Kirchner Biography, Néstor Kirchner,Spouse/Ex-
Cristina Fernández de Kirchner Biography, Eduardo Fernández,father
Cristina Fernández de Kirchner Biography, Ofelia Esther Wilhelm,mother
Cristina Fernández de Kirchner Biography," Florencia Kirchner, Máximo Kirchner",children
H. H. Asquith Biography," Countess of Oxford and Asquith, Helen Kelsall Melland, Margot Asquith",Spouse/Ex-
H. H. Asquith Biography," Anthony Asquith, Arthur Asquith, Baron Asquith of Bishopstone, Cyril Asquith, Elizabeth Bibesco, Herbert Asquith, Maurice Bonham Carter, Raymond Asquith, Violet Bonham Carter",children
Doug Ducey Biography, Angela Ducey,Spouse/Ex-
Doug Ducey Biography, Douglas Roscoe Sr.,father
Doug Ducey Biography, Madeline Scott,mother
Doug Ducey Biography," Jack, Joe, Sam",children
Enoch Powell Biography, Margaret Pamela Wilson (m. 1952–1998),Spouse/Ex-
Enoch Powell Biography, Albert Enoch Powell,father
Enoch Powell Biography, Ellen Mary,mother
Enoch Powell Biography," Jennifer Powell, Susan Powell",children
Shimon Peres Biography, Sonya Gelman,Spouse/Ex-
Shimon Peres Biography, Yitzhak Perski,father
Shimon Peres Biography, Sara Perski,mother
Shimon Peres Biography, Gershon Perski,siblings
Shimon Peres Biography," Nehemia Peres, Yoni Peres, Zvia Valdan",children
Enver Hoxha Biography, Nexhmije Hoxha,Spouse/Ex-
Enver Hoxha Biography, Ilir Hoxha,children
Hussain Muhammad Ershad Biography, Rowshan Ershad,Spouse/Ex-
Hassan Rouhani Biography, Sahebeh Rouhani,Spouse/Ex-
Hassan Rouhani Biography, Haj Asadollah Feridon,father
Hassan Rouhani Biography, Sakineh Peivandi,mother
Hassan Rouhani Biography," Hossein Feridon, طاهره فریدون, طوبی فریدون, فاطمه فریدون",siblings
Lenín Moreno Biography, Rocio Gonzalez,Spouse/Ex-
Lenín Moreno Biography, Servio Tulio Moreno,father
Adam Clayton Powell Jr. Biography," Hazel Scott, Yvette Flores",Spouse/Ex-
Adam Clayton Powell Jr. Biography," Adam Clayton Powell III, Adam Clayton Powell IV",children
Benjamin Rush Biography, Julia Stockton,Spouse/Ex-
Benjamin Rush Biography, John Rush,father
Benjamin Rush Biography, Susanna Rush,mother
Benjamin Rush Biography," James Rush, Richard Rush",children
Gustav Stresemann Biography, Käte Kleefeld,Spouse/Ex-
Gustav Stresemann Biography, Ernst Stresemann,father
Gustav Stresemann Biography," Hans-Joachim, Wolfgang",children
Pete Buttigieg Biography, Joseph A. Buttigieg,father
Pete Buttigieg Biography, Jennifer Anne Montgomery,mother
Michael Steele Biography, Andrea Steele,Spouse/Ex-
Michael Steele Biography, William Steeke,father
Michael Steele Biography, Maebell Steele,mother
Michael Steele Biography, Monica Turner,siblings
Mohamed Morsi Biography, Naglaa Mahmoud,Spouse/Ex-
Mohamed Morsi Biography," Abdullah Morsi, Ahmed Morsi, Omar Morsi, Osama Morsi, Shaima Morsi",children
Georges Pompidou Biography, Claude Jacqueline Pompidou,Spouse/Ex-
Georges Pompidou Biography, Madeleine Pompidou,siblings
Georges Pompidou Biography, Alain Pompidou,children
Klaus Iohannis Biography, Carmen Johannis,Spouse/Ex-
Terry Branstad Biography, Christine Johnson,Spouse/Ex-
Terry Branstad Biography, Edward Arnold Branstad,father
Terry Branstad Biography, Rita L. (Garland),mother
Terry Branstad Biography," Allison Branstad, Eric Branstad, Marcus Branstad",children
Robert Menzies Biography, Pattie Menzies,Spouse/Ex-
Robert Menzies Biography," Heather Henderson, Ian Mezies, Kenneth Menzies",children
Nandan Nilekani Biography, Rohini Nilekani,Spouse/Ex-
Nandan Nilekani Biography, Mohan Rao Nilekani,father
Nandan Nilekani Biography, Durga Nilekani,mother
Nandan Nilekani Biography, Vijay,siblings
Nandan Nilekani Biography," Jahanavi, Nihar",children
Matteo Renzi Biography, Agnese Landini,Spouse/Ex-
Matteo Renzi Biography," Emanuele Renzi, Ester Renzi, Francesco Renzi",children
Charles W. Fairbanks Biography, Cornelia Cole Fairbanks,Spouse/Ex-
Tunku Abdul Rahman Biography," Meriam Chong (1933–1935), Sharifah Rodziah Alwi Barakbah (1939–1990), Violet Coulson (1935–1946)",Spouse/Ex-
Tunku Abdul Rahman Biography, Sultan Abdul Hamid Halim Shah,father
Tunku Abdul Rahman Biography, Cik Menjalara,mother
Tunku Abdul Rahman Biography, Tunku Mahmud,siblings
Tunku Abdul Rahman Biography," Tunku Ahmad Nerang, Tunku Khadijah",children
Levi P. Morton Biography, Anna Morton,Spouse/Ex-
Morgan Tsvangirai Biography," Elizabeth Macheka, Locadia Karimatsenga, Susan Tsvangirai",Spouse/Ex-
Morgan Tsvangirai Biography, Dzingirai-Chibwe Tsvangirai,father
Morgan Tsvangirai Biography, Lydia Tsvangirai,mother
Morgan Tsvangirai Biography," Edwin Tsvangirai, Garikai Tsvangirai, Millicent Tsvangirai, Rumbidzai Tsvangirai, Vimbai Tsvangirai, Vincent Tsvangirai",children
Mark White Biography, Linda Gale Thompson,Spouse/Ex-
Mark White Biography, Mark Wells White Sr.,father
Mark White Biography, Sarah Elizabeth White,mother
J. R. Jayewardene Biography, Elina Jayewardene,Spouse/Ex-
J. R. Jayewardene Biography, Hector Wilfred Jayewardene,siblings
Hussein Onn Biography, Suhaila Noah,Spouse/Ex-
Hussein Onn Biography, Onn Jaafar,father
Hussein Onn Biography, Hishammuddin Hussein,children
Ahmed Chalabi Biography, Leila Osseiran (m. 1971–2015),Spouse/Ex-
Ahmed Chalabi Biography," Hadi Chalabi, Hashim Chalabi, Mariam Chalabi, Tamara Chalabi",children
Garret Hobart Biography, Jennie Tuttle Hobart,Spouse/Ex-
Gloria Macapagal-Arroyo Biography, Jose Miguel Arroyo,Spouse/Ex-
Gloria Macapagal-Arroyo Biography, Diosdado Macapagal,father
Gloria Macapagal-Arroyo Biography, Eva Macapagal,mother
Gloria Macapagal-Arroyo Biography," Cielo Macapagal-Salgado, Diosdado Macapagal Jr.",siblings
Gloria Macapagal-Arroyo Biography," Diosdado Ignacio Jose Maria Arroyo, Diosdado Macapagal–Arroyo, Evangelina Lourdes Arroyo, Mikey Arroyo",children
D. S. Senanayake Biography, Molly Dunuwila,Spouse/Ex-
D. S. Senanayake Biography, Fredrick Richard Senanayake,siblings
D. S. Senanayake Biography, Dudley Senanayake,children
Henry Wilson Biography, Harriet Malvina Howe Wilson,Spouse/Ex-
Ahmadou Ahidjo Biography, Germaine Ahidjo,Spouse/Ex-
Lon Nol Biography, Lon Non,siblings
Clement Vallandigham Biography, Louisa Anna (McMahon) Vallandigham,Spouse/Ex-
Clement Vallandigham Biography, Clement,father
Clement Vallandigham Biography, Rebecca Laird Vallandigham,mother
Clement Vallandigham Biography, Charles Vallandigham,children
Tony Tan Biography, Mary Chee Bee Kiang,Spouse/Ex-
Tony Tan Biography, Tan Seng Hwee,father
Tony Tan Biography, Jessie Lim Neo Swee,mother
Sushil Koirala Biography, Bodh Prasad Koirala,father
Sushil Koirala Biography, Kuminidi Koirala,mother
Richard Henry Dana Jr. Biography, Richard Henry Dana Sr.,father
Richard Henry Dana Jr. Biography, Richard Henry Dana III,children
Omar Torrijos Biography, Raquel Pauzner,Spouse/Ex-
Omar Torrijos Biography, Martín Torrijos,children
Francis Lewis Biography, Morgan Lewis,children
Austen Chamberlain Biography, Joseph Chamberlain,father
Austen Chamberlain Biography, Harriet Kenrick,mother
Austen Chamberlain Biography," Beatrice Chamberlain, Ethel Chamberlain, Hilda Chamberlain, Ida Chamberlain, Neville Chamberlain",siblings
Rupiah Banda Biography," Hope Mwansa Banda, Thandiwe Banda",Spouse/Ex-
Almazbek Atambayev Biography," Buazhar Atambayev, Raisa Atambayeva",Spouse/Ex-
Almazbek Atambayev Biography," Aliya Atambayev, Diana Atambayev, Dinara Atambayev, Khadyrbek Atambayev, Seyit Atambayev, Seytek Atambayev",children
Horacio Cartes Biography, María Montaña de Cartes,Spouse/Ex-
Horacio Cartes Biography," Juan Pablo Cartes, María Sol Cartes, Sofía Cartes",children
Hugo Chavez Biography," Marisabel Rodríguez de Chávez (m. 1997–2004), Nancy Colmenares (m. 1977–1995)",Spouse/Ex-
Hugo Chavez Biography, Hugo de los Reyes Chávez,father
Hugo Chavez Biography, Elena Frías de Chávez,mother
Hugo Chavez Biography, Adán Chávez,siblings
Hugo Chavez Biography," Hugo Rafael, María Gabriela Chávez, Rosa Virginia Chávez, Rosines Chavez",children
Stephen Douglas Biography," Martha Denny Martin, Rose Adele Cutts",Spouse/Ex-
Stephen Douglas Biography, Stephen Arnold Douglass,father
Stephen Douglas Biography, Sarah Fisk,mother
